genotype,run_no,plate_no,well_no,file_column,end_dlogod,flag_censored_end,flag_censored_start,generations,increment_od,lin_gradient_after,lin_gradient_before,max_growth_rate,od_end,od_start,start_dlogod,t_end,t_start,t_switch
YAL068C,1,A,1,1,1.103370121e-03,0.000000000e+00,1.000000000e+00,2.956771542e+00,2.896162144e+00,-1.896876247e-05,failed_to_compute,6.971059427e-03,3.324344875e+00,4.281827310e-01,6.971059427e-03,8.163147459e+02,3.909240481e+02,5.069804223e+02
YAL067C,1,A,2,2,9.438075782e-04,0.000000000e+00,1.000000000e+00,3.329706759e+00,3.168201372e+00,-1.921646370e-05,failed_to_compute,7.168541629e-03,3.518121767e+00,3.499203947e-01,7.168541629e-03,8.565585886e+02,3.917729777e+02,5.326314526e+02
YAL066W,1,A,3,3,7.608820146e-05,0.000000000e+00,1.000000000e+00,3.670380254e+00,3.337217505e+00,-1.957603774e-05,failed_to_compute,7.348417080e-03,3.621673253e+00,2.844557478e-01,7.348417080e-03,9.247335374e+02,3.961785266e+02,5.532421777e+02
YAL065C,1,A,4,4,1.174784887e-03,0.000000000e+00,1.000000000e+00,2.823088568e+00,2.874915188e+00,-2.014856590e-05,failed_to_compute,7.020384208e-03,3.348015356e+00,4.731001677e-01,7.020384208e-03,8.143387113e+02,4.132869114e+02,5.242138782e+02
BY4741,1,A,5,5,1.020261440e-03,0.000000000e+00,1.000000000e+00,3.401184634e+00,3.131763934e+00,-1.938959960e-05,failed_to_compute,7.221828574e-03,3.459192141e+00,3.274282070e-01,7.221828574e-03,8.728820234e+02,4.070427286e+02,5.530421473e+02
YAL062W,1,A,6,6,3.015978592e-05,0.000000000e+00,1.000000000e+00,3.166188792e+00,3.326003498e+00,-1.906344301e-05,failed_to_compute,7.169955127e-03,3.742967171e+00,4.169636729e-01,7.169955127e-03,8.862079194e+02,3.995192305e+02,5.116798062e+02
YAL061W,1,A,7,7,1.011631363e-03,0.000000000e+00,1.000000000e+00,3.298643650e+00,3.091226287e+00,-1.937061269e-05,failed_to_compute,7.282510694e-03,3.440916475e+00,3.496901884e-01,7.282510694e-03,8.662301757e+02,4.111517859e+02,5.424985812e+02
YAL060W,1,A,8,8,9.617918273e-04,0.000000000e+00,1.000000000e+00,3.275772827e+00,3.084428132e+00,-1.971747756e-05,failed_to_compute,7.153402561e-03,3.439566715e+00,3.551385832e-01,7.153402561e-03,8.459127182e+02,3.900141992e+02,5.318963480e+02
YAL059W,1,A,9,9,6.244085333e-05,0.000000000e+00,1.000000000e+00,2.732833609e+00,2.532072999e+00,-2.021078633e-05,failed_to_compute,6.335131300e-03,2.980417947e+00,4.483449480e-01,6.335131300e-03,9.260978709e+02,4.745412393e+02,6.157343677e+02
YAL058W,1,A,10,10,4.948048516e-05,0.000000000e+00,1.000000000e+00,4.240543027e+00,2.816226906e+00,-1.888524693e-05,failed_to_compute,5.392796686e-03,2.973531687e+00,1.573047808e-01,5.392796686e-03,8.936908973e+02,2.196950163e+02,6.107548985e+02
YAL056W,1,A,11,11,1.086736451e-03,0.000000000e+00,1.000000000e+00,3.086465986e+00,2.753000604e+00,-2.226377419e-05,failed_to_compute,7.660694613e-03,3.120354926e+00,3.673543218e-01,7.660694613e-03,7.841993415e+02,3.769990522e+02,4.889233427e+02
YAL055W,1,A,12,12,1.074256892e-03,0.000000000e+00,1.000000000e+00,3.626446430e+00,3.166217825e+00,-1.598071677e-05,failed_to_compute,7.327566235e-03,3.445178213e+00,2.789603885e-01,7.327566235e-03,8.697240686e+02,3.574100800e+02,4.784206350e+02
YAL053W,1,A,13,13,1.569866363e-03,0.000000000e+00,1.000000000e+00,3.060065354e+00,2.940379182e+00,-1.880296553e-05,failed_to_compute,6.940995648e-03,3.340970131e+00,4.005909492e-01,6.940995648e-03,8.273679385e+02,4.089876326e+02,5.417146314e+02
YAL051W,1,A,14,14,3.856233699e-05,0.000000000e+00,1.000000000e+00,3.672032090e+00,4.688946801e+00,-1.103064718e-05,failed_to_compute,7.089332576e-03,5.088124156e+00,3.991773548e-01,7.089332576e-03,1.047669560e+03,4.043102924e+02,4.084713218e+02
YAL049C,1,A,15,15,1.146494100e-03,0.000000000e+00,1.000000000e+00,3.491018548e+00,3.237182485e+00,-1.921626494e-05,failed_to_compute,7.156568222e-03,3.553205752e+00,3.160232668e-01,7.156568222e-03,8.828236461e+02,4.104155458e+02,5.700639011e+02
YAL048C,1,A,16,16,9.447434842e-04,0.000000000e+00,1.000000000e+00,3.344243294e+00,3.200476822e+00,-1.341394732e-05,failed_to_compute,5.872860410e-03,3.550031092e+00,3.495542707e-01,5.872860410e-03,1.042351069e+03,4.903615124e+02,6.749635425e+02
