genotype,run_no,plate_no,well_no,file_column,no_segments,sum_area_gap_fd,t_end,t_start,tphase_residuals_fd,tphase_residuals_fd_normalized,tphase_rsquared_fd
YNR018W,32,B,39,139,2.000000000e+00,-3.207822273e-02,1.220493470e+03,4.925446689e+02,1.355813308e-06,3.664360292e-08,9.886167275e-01
YGL173C,18,B,40,140,1.000000000e+00,-7.011999157e-04,4.314081003e+02,2.903025193e+02,1.591730622e-07,2.273900889e-08,4.466712044e-01
YGL173C,18,B,40,140,2.000000000e+00,-4.869436977e-02,1.272173466e+03,4.966576310e+02,1.330499428e-06,3.411536994e-08,9.780216039e-01
YEL060C,16,A,31,31,2.000000000e+00,-2.576099353e-02,1.290760538e+03,5.313992126e+02,2.953279120e-06,7.771787157e-08,9.800286330e-01
YMR056C,42,A,59,59,1.000000000e+00,7.020092707e-03,3.581786879e+02,2.141505093e+02,9.100643614e-07,1.300091945e-07,-2.530271089e+00
YMR056C,42,A,59,59,1.000000000e+00,-6.742352109e-02,9.065022522e+02,4.958780183e+02,4.596544886e-06,2.188830898e-07,9.185973486e-01
YNL050C,32,B,24,124,2.000000000e+00,-1.915149417e-02,1.206833275e+03,4.659434911e+02,1.002565112e-06,2.709635437e-08,9.924354915e-01
YOR239W,34,B,63,163,1.000000000e+00,-2.668725714e-02,8.304495695e+02,5.036006688e+02,2.254244622e-06,1.408902888e-07,9.530023589e-01
YIL120W,3,B,91,191,1.000000000e+00,-2.402823499e-02,8.430186844e+02,5.165468819e+02,2.226019249e-06,1.309423088e-07,9.583446329e-01
YBR268W,9,A,84,84,1.000000000e+00,1.505174961e-02,3.946492058e+02,1.031035245e+02,4.352683049e-07,3.109059320e-08,9.737749846e-01
YBR268W,9,A,84,84,1.000000000e+00,-2.623334386e-02,1.381967838e+03,9.776270455e+02,1.942923781e-06,9.252018004e-08,9.358617122e-01
YOR082C,33,A,37,37,2.000000000e+00,-2.707282807e-02,1.258113948e+03,5.230251051e+02,1.467283719e-06,4.075788109e-08,9.881260187e-01
YBL036C,7,A,29,29,1.000000000e+00,-2.435504246e-02,1.013328965e+03,6.614502134e+02,1.634374822e-06,9.613969544e-08,9.639700416e-01
YLR267W,26,B,60,160,1.000000000e+00,-2.084524515e-02,9.230772225e+02,5.244894684e+02,1.878266338e-06,9.391331692e-08,9.601110922e-01
YMR320W,44,A,14,14,1.000000000e+00,-4.086856933e-02,9.230342426e+02,6.029554878e+02,2.916066522e-06,1.822541576e-07,9.387931899e-01
YJR020W,46,B,94,194,1.000000000e+00,-2.032042262e-02,8.687094472e+02,5.572088211e+02,2.246086124e-06,1.403803827e-07,9.448428549e-01
YLR089C,25,A,25,25,2.000000000e+00,-2.354567066e-02,1.312091733e+03,5.845524798e+02,1.175980306e-06,3.266611961e-08,9.888909525e-01
YDL206W,11,A,42,42,2.000000000e+00,-2.386159770e-02,1.300953222e+03,5.822354557e+02,1.457875688e-06,4.049654690e-08,9.898192599e-01
YDL183C,11,A,23,23,2.000000000e+00,-1.767486851e-02,1.345770695e+03,6.354700898e+02,1.881516429e-06,5.226434525e-08,9.885392491e-01
