genotype,run_no,plate_no,well_no,file_column,no_segments,sum_area_gap_fd,t_end,t_start,tphase_residuals_fd,tphase_residuals_fd_normalized,tphase_rsquared_fd
YNR014W,32,B,37,137,1.000000000e+00,-1.559017773e-02,8.587404672e+02,5.108379687e+02,1.687938563e-06,9.929050369e-08,9.601231586e-01
YKR018C,23,A,90,90,1.000000000e+00,-3.016630728e-02,8.232208065e+02,4.951479513e+02,2.299316252e-06,1.352538972e-07,9.551717165e-01
YML080W,27,A,90,90,1.000000000e+00,-2.426154284e-02,8.915933121e+02,5.298565226e+02,2.354161999e-06,1.307867777e-07,9.554376064e-01
YNL303W,30,B,44,144,1.000000000e+00,3.153363379e-02,2.737388645e+02,1.033377198e+02,1.283532102e-06,1.604415127e-07,7.986230535e-01
YNL303W,30,B,44,144,1.000000000e+00,1.648948371e-03,8.804129761e+02,6.183076761e+02,8.160055235e-07,5.828610882e-08,9.748264850e-01
YNL303W,30,B,44,144,1.000000000e+00,3.928298848e-03,1.315330041e+03,1.080970605e+03,1.552389726e-07,1.411263388e-08,8.798413074e-01
YFL027C,2,A,53,53,2.000000000e+00,-4.697951960e-03,1.247259350e+03,5.530059604e+02,1.085886930e-06,3.102534087e-08,9.920357571e-01
YLR091W,25,A,28,28,2.000000000e+00,-9.436098530e-03,1.461284349e+03,7.115927948e+02,1.313762476e-06,3.457269674e-08,9.830567516e-01
YHR153C,6,B,67,167,1.000000000e+00,-3.951597161e-02,1.098973600e+03,7.206731939e+02,2.698720039e-06,1.499288911e-07,9.397354006e-01
YDR221W,13,A,42,42,1.000000000e+00,-1.132702481e-02,9.478326497e+02,6.160007256e+02,1.526311392e-06,8.978302304e-08,9.691399096e-01
YLR386W,27,A,51,51,2.000000000e+00,-2.640904044e-02,1.160617707e+03,4.910819960e+02,1.022632953e-06,3.007743979e-08,9.911992662e-01
YGL057C,17,A,56,56,1.000000000e+00,-1.073571100e-02,9.195122197e+02,5.741999315e+02,2.185314190e-06,1.285478935e-07,9.559665909e-01
YOR247W,34,A,70,70,1.000000000e+00,1.188369076e-02,3.836029998e+02,2.334687384e+02,8.838186851e-08,1.104773356e-08,7.601579661e-01
