Generation,Population,Nwt.0,Nmut.0,Nwt.1,Nmut.1,xmut.0,xmut.1,logfc_mut,logfc_wt,logit_percycle,logit_pergen,W,log_percycle,#Rep
0,Ara + 1,279500.0,312500.0,29150000.0,25350000.0,0.527652652041332,0.4608668680577327,4.374048931166445,4.646777865542971,-0.27272893437652523,-0.05829971928806925,0.9417002807119307,-0.1472098564021114,4.0
500,Ara + 1,152000.0,154000.0,19500000.0,32800000.0,0.4888070077864294,0.62740265059536,5.635006047110302,5.068540093586486,0.5664659535238168,0.1096372735609635,1.1096372735609634,0.2504855426394527,2.0
1000,Ara + 1,266000.0,242000.0,10600000.0,29400000.0,0.4782351935599173,0.7312479528332787,4.750921183608767,3.661377163686665,1.089544019922102,0.295904137274925,1.295904137274925,0.4273804723046888,2.0
1500,Ara + 1,253000.0,179000.0,18800000.0,32300000.0,0.4153115791771254,0.6355835942776448,5.199361969340529,4.285327634473206,0.9140343348673228,0.22350980115359032,1.2235098011535905,0.4181667552053688,2.0
2000,Ara + 1,262000.0,164000.0,16700000.0,28500000.0,0.3846724684611752,0.6296336355233919,5.164754957515825,4.163901349122165,1.00085360839366,0.2401050887757472,1.2401050887757472,0.49253103613535715,2.0
2500,Ara + 1,234000.0,77000.0,14500000.0,21500000.0,0.2552805280528053,0.5986068111455108,5.670551270015782,4.195904401937719,1.4746468680780618,0.3531827123134367,1.3531827123134366,0.8550838532016802,2.0
3000,Ara + 1,282000.0,131000.0,14100000.0,22700000.0,0.3171219971738106,0.6151094027202839,5.150164269100097,3.9083733541873404,1.241790914912757,0.3184129087395015,1.3184129087395016,0.6587491395143441,2.0
3500,Ara + 1,231000.0,140000.0,14000000.0,25800000.0,0.3786968304465653,0.6526720472541182,5.220054178994961,4.086652102802361,1.1334020761926005,0.2784845074770488,1.2784845074770488,0.5419794111485111,2.0
4000,Ara + 1,220000.0,116000.0,12900000.0,23100000.0,0.3847072879330944,0.6409741943449809,5.31812193559556,4.2416643387317405,1.0764575968638186,0.2595518315873247,1.2595518315873246,0.5328870991699302,2.0
4500,Ara + 1,290000.0,86000.0,15300000.0,17400000.0,0.23205626293849077,0.5312991094814039,5.3370684114846245,3.970502232106937,1.3665661793776873,0.3446944646206469,1.344694464620647,0.8704969161154017,2.0
