genotype,run_no,plate_no,well_no,file_column,alphabetic_code,curve_rsquared_gp,curve_rsquared_logod,OD_sat,OD_sat_std,is_wildtype,gmax,lag,yield,od_start,rsquared
YAL068C,1,A,1,1,PTTP,9.973080e-01,9.974977e-01,4.411751e+00,0.000000e+00,False,6.971059e-03,1.247255e+02,3.812456e-02,6.675354e-02,9.914847e-01
YAL067C,1,A,2,2,PTTP,9.971146e-01,9.988479e-01,4.515896e+00,0.000000e+00,False,7.168542e-03,1.262117e+02,3.946022e-02,5.202263e-02,9.930488e-01
YAL066W,1,A,3,3,PTP,9.839844e-01,9.551837e-01,4.555623e+00,5.413138e-03,False,7.348417e-03,1.325067e+02,4.000808e-02,4.093657e-02,9.924166e-01
YAL065C,1,A,4,4,PTTP,9.977238e-01,9.993782e-01,4.493868e+00,4.674413e-03,False,7.020384e-03,1.274533e+02,3.917320e-02,6.366101e-02,9.918323e-01
BY4741,1,A,5,5,PTTP,9.972060e-01,9.986064e-01,4.387150e+00,0.000000e+00,True,7.221829e-03,1.395726e+02,3.849779e-02,4.734402e-02,9.938378e-01
YAL062W,1,A,6,6,PTP,9.834139e-01,8.956236e-01,4.566359e+00,0.000000e+00,False,7.169955e-03,1.412010e+02,3.982946e-02,6.532596e-02,9.916662e-01
YAL061W,1,A,7,7,PTTP,9.970723e-01,9.984981e-01,4.481776e+00,0.000000e+00,False,7.282511e-03,1.353092e+02,3.890143e-02,4.687788e-02,9.928577e-01
YAL060W,1,A,8,8,PTTP,9.974054e-01,9.993205e-01,4.399042e+00,3.810929e-03,False,7.153403e-03,1.210905e+02,3.858864e-02,5.173716e-02,9.929250e-01
YAL059W,1,A,9,9,PTP,9.865103e-01,9.502730e-01,3.519900e+00,0.000000e+00,False,6.335131e-03,1.347598e+02,3.120890e-02,5.224480e-02,9.937880e-01
YAL058W,1,A,10,10,PTP,9.868786e-01,9.702717e-01,3.483949e+00,4.440892e-16,False,5.392797e-03,7.650862e+01,3.047685e-02,6.943678e-02,9.970070e-01
YAL056W,1,A,11,11,PTTP,9.972216e-01,9.981214e-01,4.200115e+00,6.373024e-03,False,7.660695e-03,1.048627e+02,3.625268e-02,4.539417e-02,9.925908e-01
