gmax,lag,yield,genotype
0.007070961,146.2189,0.037542,YBR244W
0.0050172535,104.0275,0.039360195,YDR382W
0.006949734,110.8207,0.037944950000000005,YGR146C
0.0044525450000000005,119.36414500000001,0.035004595,YGR219W
0.0073488730000000006,126.268,0.037229960000000006,YAL027W
0.0065671065,177.894375,0.040059915,YBR075W
0.0071892475,87.76889499999999,0.03825289,YKL038W
0.005855121,163.8198,0.02959233,YBL006C
0.0066556135,122.82305,0.041209024999999996,YHR097C
0.00698528,119.66794999999999,0.03964859,YDR516C
0.0068182395,101.91982,0.04040748,YPR062W
0.0070039025,127.4239,0.03123957,YHR135C
0.0062052984999999995,87.934545,0.037001935,YDR430C
0.0070501415,103.06275,0.041346155,YDR018C
0.006889933500000001,105.92985,0.03353168,YJL181W
0.007091987500000001,120.45685,0.04035769,YDL131W
0.0067453205000000006,180.9617,0.037885810000000006,YNL106C
0.006342751000000001,131.09705,0.03758628,YOR032C
0.0058239285000000005,176.51330000000002,0.02027768,YEL024W
0.006724938,94.215385,0.03810646,YLR042C
0.006979476,107.13279499999999,0.047495140000000005,YJL055W
0.0067799775,107.0514,0.038809965,YGR153W
0.0069170405,76.614615,0.03765275,YNL204C
0.0072739485,85.09898000000001,0.037196435,YNL142W
0.0069695285,122.44165,0.04096885,YJL077C
0.0070362465,52.291380000000004,0.039260005,YPR151C
0.0066857135,94.0797,0.03891621,YMR157C
0.00458709,147.8184,0.034754565,YDL081C
0.006630769,69.88253,0.03699158,YPL066W
0.0068673729999999995,113.2461,0.04349881,YFL056C
0.0065217115,98.652755,0.03575736,YDR385W
0.0061725700000000005,72.080455,0.033500995,YLR374C
0.0066110890000000005,74.172185,0.04458903,YPL127C
0.00694625,115.14955,0.03864416,YCR016W
0.0069651185,110.89995,0.03519282,YAL029C
0.0042711925,48.33632,0.0371929,YLR069C
0.0063893875,130.20495,0.039608655,YOL037C
0.006175358,61.669425000000004,0.034280485,YDR251W
0.006541435,228.5709,0.04311916,YOL085C
0.00691611,150.969,0.03724724,YCR073W-A
0.0067819874999999995,115.1761,0.038354219999999994,YEL017W
0.0065042285000000005,123.07624999999999,0.035610635,YBR125C
0.007017760499999999,88.982455,0.038493084999999996,YDR321W
0.0074331959999999996,97.572385,0.036092830000000006,YOR228C
0.006880047,90.523365,0.039615170000000005,YIL105C
0.006654033,105.84440000000001,0.03807613,YLR224W
0.0069893485,102.29705,0.041517250000000006,YML052W
0.006031178,150.3881,0.03968647,YCR071C
0.006451173500000001,88.040425,0.04151308,YNL045W
0.0066736465,40.643744999999996,0.03748799,YMR292W
0.006878064,80.02025499999999,0.042637625,YER183C
0.005743566,259.4837,0.03916986,YML013C-A
0.0069014565,103.84615,0.040010500000000004,YFR015C
0.005750206,166.62740000000002,0.046208525,YML121W
0.006049708,121.04624999999999,0.032779375,YIL008W
0.006342333,234.7233,0.03873083,YBL007C
0.0048122145,180.0521,0.036121075,YBL044W
0.005887299,217.8262,0.03222717,YBR025C
0.0060402705,175.55399999999997,0.041980544999999994,YBR099C
0.006293811,68.345885,0.037059035,YDR216W
0.0069249985,94.76561000000001,0.036528875,YOR227W
0.0069067265,139.4644,0.036078625,YBL031W
0.006748821,91.808945,0.03990608,YPR001W
0.0057126815000000004,89.581595,0.032113745,YFL036W
0.0067827955,158.68630000000002,0.040567375,YIR025W
0.006792852,156.1144,0.03817203,YOL162W
0.007307818,112.3947,0.04022221,YJR053W
0.007201986,73.02239,0.03933826,YLR332W
0.004686705,65.549815,0.038976189999999994,YFR009W
0.006466286,56.374105,0.041196945,YGR208W
0.006857392,80.71456,0.04132546,YLR013W
0.0069269705,124.82915,0.02996808,YBR203W
0.0062698960000000005,63.95437,0.041839145,YPL098C
0.0054975435,84.62578500000001,0.0419224,YLR439W
0.0069497380000000004,128.2083,0.038891949999999995,YER007W
0.006840872499999999,136.4296,0.03897343,YJL138C
0.007129940499999999,126.59015000000001,0.039057065,YDR476C
0.006687495,82.263575,0.04407797,YPL154C
0.0043291325,88.53031,0.036338905000000005,YPR159W
0.006655829,127.10135,0.03810215,YBL064C
0.0068591145,90.93856500000001,0.033136435,YER111C
0.006881617,99.245255,0.039502125,YOR118W
0.006365284000000001,100.35213999999999,0.028811295,YOL032W
0.006606782,87.22763,0.03745038,YOR155C
0.0066750875,118.98310000000001,0.04224397,YAL011W
0.0070457225000000005,137.39770000000001,0.03978476,YKL160W
0.0046260945000000005,107.17865,0.03407169,YMR158W
0.007138788,124.82675,0.036186385,YBL032W
0.0059395,126.31275,0.037979335,YNL228W
0.0070573400000000005,109.322,0.039391685,YGR087C
0.0068822585,87.492405,0.037672545,YER152C
0.006367264500000001,123.83037,0.04058171,YNL041C
0.0068468335,128.0134,0.037066705000000005,YML100W
0.006722166,161.1575,0.04547843,YLR394W
0.005981754000000001,125.33539999999999,0.042607355,YLR027C
0.0069967365,123.5843,0.0393607,YDL240W
0.006987338,112.143,0.038476945,YER001W
0.006860219,119.6093,0.040058595,YPR172W
0.006974356,84.43205,0.04115507,YLR125W
0.005648902,191.56965,0.033799675,YAL010C
0.006575427,115.37254999999999,0.040115485,YMR048W
